event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-10-31 12:39:13 UTC,purchase,26402929,2053013563651392361,,,546.06,522483872,d71a87b0-4c11-450d-a96f-3d2e3eaf5254
2019-10-31 12:39:13 UTC,purchase,3700926,2053013565983425517,appliances.environment.vacuum,samsung,64.02,560691839,802029c3-204b-4b1e-b563-064c888f2713
2019-10-31 12:39:15 UTC,cart,1004833,2053013555631882655,electronics.smartphone,samsung,172.23,516541679,a3892dda-23d7-4159-bab6-af248ea55b0e
2019-10-31 12:39:16 UTC,purchase,2701706,2053013563911439225,appliances.kitchen.refrigerators,samsung,746.22,554061385,88c5ad7f-562b-4a94-9873-a7f2a4f3ba3b
2019-10-31 12:39:18 UTC,purchase,1005104,2053013555631882655,electronics.smartphone,apple,991.47,512527352,3415831d-1b03-2351-f12c-c52cf38e04c2
2019-10-31 12:39:21 UTC,cart,4804660,2053013554658804075,electronics.audio.headphone,xiaomi,23.06,550464070,51629bed-219d-445b-bd0b-79cabef43cf3
2019-10-31 12:39:24 UTC,cart,1004739,2053013555631882655,electronics.smartphone,xiaomi,203.09,559806091,cf69b388-6571-4fc7-8957-faef620a1d76
2019-10-31 12:39:26 UTC,purchase,8801085,2053013555573162395,electronics.telephone,nokia,22.37,520663129,5ad4691a-4dc1-4e2d-bed4-ceaafe3864a0
2019-10-31 12:39:30 UTC,cart,1480494,2053013561092866779,computers.desktop,acer,874.93,563465818,83d54c34-b187-43d0-8fc5-5f1d08300c4f
2019-10-31 12:39:33 UTC,cart,1004767,2053013555631882655,electronics.smartphone,samsung,242.70,565806834,edab8bcd-d238-400b-8dee-556befe48f63
2019-10-31 12:39:34 UTC,cart,1005239,2053013555631882655,electronics.smartphone,xiaomi,280.57,512712059,55e45cca-1391-40ee-82c8-b6de3204c9cd
2019-10-31 12:39:36 UTC,purchase,3601524,2053013563810775923,appliances.kitchen.washer,samsung,398.95,513205134,4d09c109-16ad-4299-aa33-e25dd5b9ed97
2019-10-31 12:39:41 UTC,purchase,26402917,2053013563651392361,,,767.80,512653099,14164bb0-b77a-42e6-b989-1eacf8aec45f
2019-10-31 12:39:46 UTC,cart,1004833,2053013555631882655,electronics.smartphone,samsung,172.23,516541679,a3892dda-23d7-4159-bab6-af248ea55b0e
2019-10-31 12:39:46 UTC,cart,1004767,2053013555631882655,electronics.smartphone,samsung,242.70,535716126,509965b7-b45d-4bd8-aa96-e2ac79958db9
2019-10-31 12:39:47 UTC,cart,1002633,2053013555631882655,electronics.smartphone,apple,358.31,566117278,c23387ba-758a-4eef-8503-8487f05aef6d
2019-10-31 12:39:47 UTC,purchase,17300768,2053013553853497655,,,54.41,538215159,8a3ec1cb-edf9-41e0-b2ad-60b720d6db03
2019-10-31 12:39:48 UTC,cart,12702958,2053013553559896355,,cordiant,42.47,566118380,536e59df-4c7c-40ad-9204-b3e92900460c
2019-10-31 12:39:49 UTC,purchase,15200779,2053013553484398879,,volta,38.87,515935875,1f047999-44ca-4774-be5e-12edff0b8058
2019-10-31 12:39:51 UTC,purchase,1004767,2053013555631882655,electronics.smartphone,samsung,242.70,558184642,b0998fb7-8646-477b-a2d5-841f9d1d0ea0
2019-10-31 12:39:56 UTC,purchase,3601524,2053013563810775923,appliances.kitchen.washer,samsung,398.95,525713145,d63e2928-ccd7-42ad-8eea-6387a76abad5
2019-10-31 12:39:58 UTC,cart,1800930,2053013554415534427,electronics.video.tv,sony,329.22,513711853,ac7ed417-a094-4621-9129-0c042cc0a3e8
2019-10-31 12:40:04 UTC,purchase,1005006,2053013555631882655,electronics.smartphone,xiaomi,85.89,528366830,ff9e848d-c0f1-4b09-b9c2-266ad43332a9
2019-10-31 12:40:05 UTC,purchase,1005156,2053013555631882655,electronics.smartphone,xiaomi,321.76,514273501,86e52392-0170-4a6e-8af9-a3470951f89a
2019-10-31 12:40:05 UTC,purchase,1801940,2053013554415534427,electronics.video.tv,haier,231.64,543470396,caa2458c-6e98-4742-a5ce-3fdf88b4b528
2019-10-31 12:40:23 UTC,cart,1004767,2053013555631882655,electronics.smartphone,samsung,242.70,565806834,edab8bcd-d238-400b-8dee-556befe48f63
2019-10-31 12:40:25 UTC,cart,1005115,2053013555631882655,electronics.smartphone,apple,952.37,512527352,3415831d-1b03-2351-f12c-c52cf38e04c2
2019-10-31 12:40:26 UTC,cart,1005238,2053013555631882655,electronics.smartphone,oppo,308.47,531602214,eb4d759e-fd0e-48b6-a091-0789ad0a640d
2019-10-31 12:40:26 UTC,purchase,1480376,2053013561092866779,computers.desktop,lenovo,694.97,514208859,3f411b2b-2a15-474f-9fa8-affbd9262841
2019-10-31 12:40:27 UTC,purchase,1005098,2053013555631882655,electronics.smartphone,samsung,139.66,538145096,0b07beb3-e973-4b7e-8ed0-a2a64eded955
2019-10-31 12:40:32 UTC,cart,1003317,2053013555631882655,electronics.smartphone,apple,928.19,516262470,62e788da-9103-4dce-accf-27a16dddd5e8
2019-10-31 12:40:34 UTC,purchase,6902630,2053013560312726199,furniture.living_room.chair,joie,111.46,513001003,2f2c8206-7562-434c-9b6f-7d1cfa457d0b
2019-10-31 12:40:38 UTC,cart,1004768,2053013555631882655,electronics.smartphone,samsung,242.77,566118467,a1eb56f7-0720-41e0-a084-0ec644f95eff
2019-10-31 12:40:38 UTC,purchase,12701624,2053013553559896355,,matador,43.24,557314839,61d1ddb5-60e9-4b73-bfca-13ee4fd725d6
2019-10-31 12:40:38 UTC,cart,1005118,2053013555631882655,electronics.smartphone,apple,977.11,566004258,d68a0148-825d-4beb-a3bd-805e474f7c24
2019-10-31 12:40:39 UTC,purchase,1005115,2053013555631882655,electronics.smartphone,apple,952.37,552173232,3381765e-ac30-4de0-b42a-464f67b8ee63
2019-10-31 12:40:40 UTC,cart,1002524,2053013555631882655,electronics.smartphone,apple,531.26,512469495,c6bf9f9d-2c97-405f-ba99-519489bc759e
2019-10-31 12:40:41 UTC,cart,1004659,2053013555631882655,electronics.smartphone,samsung,717.52,515082352,f16c77ca-81a0-40bc-9e17-f49b1687f00a
2019-10-31 12:40:42 UTC,cart,1004961,2053013555631882655,electronics.smartphone,oppo,166.41,558041260,5e305307-e7d8-4310-a758-25fd7e0e2d7c
2019-10-31 12:40:44 UTC,purchase,3100906,2053013555262783879,appliances.kitchen.blender,elenberg,41.16,517852228,8c7e5ddd-a58f-476c-80e9-89bb2e9c2b53
2019-10-31 12:40:45 UTC,cart,1005115,2053013555631882655,electronics.smartphone,apple,952.37,512913062,77c7d67e-431a-45a2-80c2-b804c12deca4
2019-10-31 12:40:45 UTC,purchase,1005116,2053013555631882655,electronics.smartphone,apple,1016.05,524081273,c9196954-57dc-4921-94f5-62b75e25a1e7
2019-10-31 12:40:48 UTC,purchase,1005115,2053013555631882655,electronics.smartphone,apple,952.37,512527352,3415831d-1b03-2351-f12c-c52cf38e04c2
2019-10-31 12:40:48 UTC,purchase,1005239,2053013555631882655,electronics.smartphone,xiaomi,280.57,512712059,55e45cca-1391-40ee-82c8-b6de3204c9cd
2019-10-31 12:40:49 UTC,cart,6000094,2053013560807654091,auto.accessories.alarm,starline,121.24,515879827,800c1293-91f9-4fc2-a323-c159bcb86d79
2019-10-31 12:40:55 UTC,purchase,4804409,2053013554658804075,electronics.audio.headphone,elari,62.91,518625624,c95d0126-6ef0-4e81-9102-85a53006b692
2019-10-31 12:40:55 UTC,purchase,1005118,2053013555631882655,electronics.smartphone,apple,977.11,566004258,d68a0148-825d-4beb-a3bd-805e474f7c24
2019-10-31 12:40:59 UTC,purchase,1004767,2053013555631882655,electronics.smartphone,samsung,242.70,535716126,509965b7-b45d-4bd8-aa96-e2ac79958db9
2019-10-31 12:41:00 UTC,purchase,1480494,2053013561092866779,computers.desktop,acer,874.93,563465818,83d54c34-b187-43d0-8fc5-5f1d08300c4f
2019-10-31 12:41:01 UTC,purchase,22700045,2053013556168753601,,total,30.86,564254987,ccac427c-1c17-4213-ae58-3eb073a183cd
2019-10-31 12:41:01 UTC,purchase,1002633,2053013555631882655,electronics.smartphone,apple,358.31,528059278,5cdb81a4-9cdd-477d-9b06-d50ff9f01e9d
2019-10-31 12:41:01 UTC,cart,1005160,2053013555631882655,electronics.smartphone,xiaomi,212.09,559806091,cf69b388-6571-4fc7-8957-faef620a1d76
2019-10-31 12:41:02 UTC,cart,1307073,2053013558920217191,computers.notebook,acer,682.09,562718314,03d1ccab-aeb1-4a83-8057-be724d1adc27
2019-10-31 12:41:07 UTC,cart,18000919,2053013558525952589,,samsung,18.79,536287837,f2fe0cab-ef0b-4df7-8665-944bdc3e5d30
2019-10-31 12:41:07 UTC,purchase,1004858,2053013555631882655,electronics.smartphone,samsung,131.53,513278805,39793b9c-d852-4dea-88ec-2de887c6dd3d
2019-10-31 12:41:09 UTC,cart,1801704,2053013554415534427,electronics.video.tv,samsung,411.59,543728803,43e5913b-e4eb-4b7d-b47d-24ed7bbd6922
2019-10-31 12:41:09 UTC,purchase,1005121,2053013555631882655,electronics.smartphone,apple,975.49,565348737,9cca8c25-5916-4a49-affb-5733eeecd3b3
2019-10-31 12:41:11 UTC,purchase,1004873,2053013555631882655,electronics.smartphone,samsung,362.42,566115864,6871cb1f-f5a4-4790-8c33-c9bb11e966d6
2019-10-31 12:41:11 UTC,purchase,1801739,2053013554415534427,electronics.video.tv,samsung,282.03,520466239,5382af66-d296-4912-b1ba-21bae7696ee7
2019-10-31 12:41:14 UTC,cart,4804295,2053013554658804075,electronics.audio.headphone,xiaomi,22.81,531938528,4aab8a72-2616-4a21-ae17-ee797d6e78e2
2019-10-31 12:41:15 UTC,purchase,13201002,2053013557192163841,furniture.bedroom.bed,stendmebel,179.46,566113795,6ab05826-a90b-4855-8506-552748da4638
2019-10-31 12:41:18 UTC,purchase,1005160,2053013555631882655,electronics.smartphone,xiaomi,212.09,559806091,cf69b388-6571-4fc7-8957-faef620a1d76
2019-10-31 12:41:18 UTC,purchase,1004872,2053013555631882655,electronics.smartphone,samsung,275.00,535470072,789b79ac-66b4-4159-bcae-8e68b639e743
2019-10-31 12:41:21 UTC,cart,1002524,2053013555631882655,electronics.smartphone,apple,531.26,542399645,eaa58a4f-5469-49fd-b574-b3bf9936a615
2019-10-31 12:41:23 UTC,cart,1004249,2053013555631882655,electronics.smartphone,apple,722.53,566119179,e9db1ce2-32cd-42cd-a19c-02d9859ba28b
2019-10-31 12:41:24 UTC,purchase,5100816,2053013553375346967,,xiaomi,29.59,547179164,6e555e48-7028-457a-bac7-e0ed0add878b
2019-10-31 12:41:31 UTC,purchase,1002544,2053013555631882655,electronics.smartphone,apple,458.28,535781590,35364ee5-35c8-4247-80e0-a254031feb6f
2019-10-31 12:41:33 UTC,cart,1005115,2053013555631882655,electronics.smartphone,apple,952.37,566119106,c37c8bcb-9cf7-46f7-b3e5-20675b742fae
2019-10-31 12:41:40 UTC,cart,1005266,2053013555631882655,electronics.smartphone,xiaomi,142.84,550433211,6f7ec941-2ee1-44d8-803c-e7dacd79bb57
2019-10-31 12:41:46 UTC,cart,1004836,2053013555631882655,electronics.smartphone,samsung,229.90,523387948,5d6bb722-7d20-4a2d-a72b-2bf1a4e268b2
2019-10-31 12:41:48 UTC,purchase,5100855,2053013553341792533,electronics.clocks,apple,552.14,566117437,55e11e28-f69b-4273-a00b-ed8a3c230210
2019-10-31 12:41:50 UTC,purchase,4803186,2053013554658804075,electronics.audio.headphone,harper,25.71,512989233,9f8e17a4-4306-441e-8382-ce029a3906ef
2019-10-31 12:41:52 UTC,cart,1005160,2053013555631882655,electronics.smartphone,xiaomi,212.09,559806091,cf69b388-6571-4fc7-8957-faef620a1d76
2019-10-31 12:41:54 UTC,cart,1004870,2053013555631882655,electronics.smartphone,samsung,275.34,550206659,da5bd816-f220-4402-8e54-9434d1fb9a86
2019-10-31 12:41:55 UTC,purchase,1004249,2053013555631882655,electronics.smartphone,apple,722.53,566119179,e9db1ce2-32cd-42cd-a19c-02d9859ba28b
2019-10-31 12:41:55 UTC,cart,1004750,2053013555631882655,electronics.smartphone,samsung,195.06,516308023,0b1c847b-fe92-4c72-b79c-1b38ef55999d
2019-10-31 12:41:57 UTC,cart,1002633,2053013555631882655,electronics.smartphone,apple,358.31,566117278,c23387ba-758a-4eef-8503-8487f05aef6d
2019-10-31 12:42:01 UTC,purchase,1005115,2053013555631882655,electronics.smartphone,apple,952.37,512913062,77c7d67e-431a-45a2-80c2-b804c12deca4
2019-10-31 12:42:03 UTC,cart,3300010,2053013555355058573,,redmond,102.91,519414215,23a1f541-e25e-44a4-8025-95467faf0bc1
2019-10-31 12:42:03 UTC,cart,1004838,2053013555631882655,electronics.smartphone,oppo,178.90,535464013,770eddb9-93ed-4db6-9853-aba384042a0d
